Name,Test Matches,ODIs,T20s,Innings,Runs,Fours,Sixes,Strike Rate,Highest Score,Average,50s,100s,Wickets,Economy,Date of Match,Runs Conceded,3 Wickets Haul,5 Wickets Haul,Balls
Cricketer_32,70,158,138,112,4714,459,93,74.60794254,156,30.5282115,8,2,204,4.443875666,04-Mar,9407,15,2,2173
Cricketer_33,65,136,192,46,3213,122,63,86.89276075,76,42.15905012,26,6,205,5.587663203,03-Apr,6919,14,4,3668
Cricketer_34,177,173,50,187,6737,165,186,96.37036926,107,32.80912051,15,9,406,5.386958993,05-Jun,5255,11,5,2430
Cricketer_35,85,92,159,176,1282,457,148,53.03099613,163,26.32406599,25,10,58,5.555058008,05-Apr,7738,10,5,9919
Cricketer_36,75,80,131,155,5363,488,85,93.47933803,156,37.46451382,13,2,168,6.442671578,05-May,5473,5,3,9211
Cricketer_37,163,193,129,152,3666,140,61,61.28521378,145,23.37147757,9,10,458,7.170920268,06-Mar,7570,7,1,3203
Cricketer_38,171,165,152,155,9650,145,108,136.8606738,127,25.21203074,27,4,220,7.256958046,06-May,1118,8,1,4380
Cricketer_39,66,62,144,51,9487,276,91,90.18221076,117,29.43098318,16,1,256,4.098033429,03-Jun,6881,9,2,5565
Cricketer_40,137,190,65,176,5197,163,131,98.06702497,75,39.30047023,24,6,220,4.105785834,03-Mar,3424,6,1,4454
Cricketer_41,155,63,140,79,6887,230,179,97.98586955,97,25.31530792,15,9,299,7.125721765,05-May,6599,2,3,3975
Cricketer_42,177,134,66,144,6400,110,96,107.9854768,129,43.02880198,12,1,121,5.759654102,05-Jun,3347,11,3,3731
Cricketer_43,173,140,175,44,4813,303,175,116.3162927,153,49.28739002,10,8,103,4.505153737,04-Apr,5652,5,3,5714
Cricketer_44,157,138,56,163,8984,182,88,106.1781132,150,48.48223802,18,4,364,4.959243525,04-Jun,2878,3,1,4482
Cricketer_45,167,142,140,38,9246,422,198,124.7684827,50,23.79075787,20,2,125,4.704415806,03-Mar,5976,10,4,9591
Cricketer_46,111,116,93,104,2061,335,148,138.8893017,153,35.13470822,27,4,327,6.81237065,03-Apr,4919,15,3,7025
Cricketer_47,183,78,160,188,1945,328,91,61.94223607,138,32.50076868,30,7,239,4.508382261,04-Jun,4735,9,2,3671
Cricketer_48,56,88,138,171,3700,125,148,124.7820957,78,49.35380089,15,1,67,5.628303162,06-May,8321,14,3,8249
Cricketer_49,157,145,155,56,4741,403,158,102.5746362,95,37.75366101,30,8,92,5.285573344,05-Mar,9872,5,4,6566
Cricketer_50,192,168,105,48,4142,135,184,105.3598759,104,24.59766264,6,5,475,7.733361448,05-Mar,1501,11,4,5048
Cricketer_51,111,146,86,65,2397,251,187,53.20969199,110,49.65267602,25,2,220,4.588100603,06-Mar,9845,13,5,7911
Cricketer_52,89,102,138,196,2513,485,92,76.76209993,120,35.23215621,25,6,222,5.338339452,04-Mar,6282,12,2,4595
Cricketer_53,115,138,181,124,6393,372,99,141.4884569,84,38.49071003,19,2,320,5.824162346,05-Apr,4390,8,2,2140
Cricketer_54,182,70,63,144,8022,180,82,87.78539949,66,46.55945615,25,3,278,7.712988145,05-Apr,7806,6,3,7215
Cricketer_55,94,106,149,65,6502,272,149,92.14100659,157,36.65395356,23,6,218,6.92872342,05-Apr,3826,7,4,6283
Cricketer_56,152,194,179,57,9300,452,110,105.7590259,130,39.50629877,27,7,296,5.342168406,06-May,5904,10,3,8781
Cricketer_57,171,107,123,75,2867,338,81,94.93955069,87,26.80579612,20,3,377,5.028585871,04-Jun,6497,5,3,3264
Cricketer_58,126,83,108,158,6399,143,53,75.94994558,132,39.92009743,21,4,177,4.741480037,04-Mar,3729,5,5,9234
Cricketer_59,105,106,82,76,9038,323,85,119.6597822,60,31.21015576,23,10,497,7.919231217,06-Apr,9704,5,3,9974
Cricketer_60,57,168,121,152,2189,219,164,139.8232409,135,42.94894663,21,8,342,4.741117651,03-May,6927,1,1,9621
Cricketer_61,129,121,155,149,8926,377,56,68.32028162,165,22.62886898,18,10,435,6.678646035,05-Jun,9825,2,4,5392
Cricketer_62,182,91,134,65,1805,362,93,66.83518002,81,39.23737769,6,1,97,5.340734777,04-Apr,6237,9,3,10000
Cricketer_63,115,167,169,29,4632,392,163,101.4785294,107,37.96234985,30,2,366,4.025050857,05-Mar,4212,3,2,8067
Cricketer_64,138,117,132,104,6862,199,141,95.52552399,163,22.06267206,8,5,490,4.825057168,03-Mar,4229,7,1,2095
Cricketer_65,122,102,173,101,3100,178,61,106.4384014,69,41.2095762,30,4,159,7.974597119,05-Mar,2329,6,1,8029
Cricketer_66,166,134,70,192,7976,159,86,52.09420578,175,30.99729471,13,5,149,6.75298926,05-Apr,7849,14,3,7877
Cricketer_67,161,85,59,138,1683,210,100,100.6729241,163,32.18899848,9,2,414,4.960907025,03-Mar,2791,7,4,9688
Cricketer_68,93,101,157,20,7011,303,111,142.1186612,141,21.64472286,5,4,418,6.579167532,06-Apr,3462,14,5,7144
Cricketer_69,106,107,71,149,9353,150,121,111.3307968,67,29.57317042,30,5,441,6.074522287,05-Mar,6780,4,3,2082
Cricketer_70,137,73,182,110,3920,490,147,86.279996,57,43.79107989,10,2,382,7.496284372,04-Apr,1249,15,5,2190
Cricketer_71,72,158,146,101,2439,297,111,57.41413267,117,42.40789456,15,1,314,4.515003909,05-Apr,3447,8,3,5843
Cricketer_72,136,60,145,35,2675,353,113,66.95398394,91,43.11224619,20,8,469,4.746624621,03-Jun,2650,5,2,3549
Cricketer_73,75,51,189,32,1940,363,192,131.5934714,66,31.37169257,18,3,319,4.658334071,04-Apr,4926,13,2,2867
Cricketer_74,119,157,141,139,5279,380,161,125.2076115,106,36.8423152,29,4,494,7.383712448,06-Jun,8314,14,5,5311
Cricketer_75,164,157,200,65,2959,107,71,113.0260918,119,40.64936657,14,10,261,7.685583566,05-May,6704,4,1,2978
Cricketer_76,188,74,66,155,2895,444,71,62.22022279,129,28.94026897,23,5,467,4.893750608,04-Apr,7730,6,4,9034
Cricketer_77,65,91,89,145,1666,165,111,60.50985135,111,40.33745341,11,8,120,4.653255488,06-May,9596,11,1,6762
Cricketer_78,60,196,136,33,4566,275,80,144.9310877,100,39.29742593,20,4,312,4.268382132,03-Mar,9474,4,5,9182
Cricketer_79,162,139,57,61,7275,497,94,120.9559829,176,27.58794889,7,7,297,7.680189405,03-Mar,3937,6,2,9581
Cricketer_80,174,88,58,177,7767,438,87,115.6188018,164,37.83663914,22,6,90,6.963056431,06-Mar,3861,9,1,9606
Cricketer_81,151,74,152,73,8056,152,189,116.5969537,56,49.94119884,12,2,269,4.89799801,05-Apr,2156,7,3,9293
Cricketer_82,175,64,68,70,5704,295,169,134.4931772,107,47.40152702,24,5,270,7.174871893,06-Apr,3158,9,5,2128
Cricketer_83,189,135,60,159,1468,318,79,83.1836264,193,43.63547501,17,2,213,7.796455174,03-May,2764,6,2,9660
Cricketer_84,87,101,68,100,6299,425,114,89.61556722,132,43.34014912,14,7,325,6.438154495,03-May,4608,5,1,9368
Cricketer_85,86,79,162,133,4660,423,110,84.29445842,65,25.15896574,14,7,126,7.361027048,05-Jun,2134,10,3,8724
Cricketer_86,162,73,75,189,1626,463,96,137.7675529,187,30.29139857,26,4,133,5.658934588,03-Mar,6797,8,1,5561
Cricketer_87,150,175,197,180,5183,250,158,71.97825708,199,37.40940971,30,9,386,5.78715282,04-Apr,6116,11,5,2542
Cricketer_88,57,132,188,56,7478,339,77,92.70380163,130,43.76025532,11,1,320,7.743632004,03-May,9465,12,5,7095
Cricketer_89,172,162,71,75,5738,213,66,76.12605217,178,23.70584246,16,3,442,5.309319258,03-May,9185,7,4,8809
Cricketer_90,120,124,54,179,6744,401,102,149.4854316,126,47.87548933,9,3,87,7.873453698,04-May,7991,7,2,9610
Cricketer_91,162,157,182,26,1499,141,128,114.5450672,151,33.53917712,24,5,297,5.379865623,04-Apr,9656,12,1,9173
Cricketer_92,196,135,193,56,4694,500,184,149.9598534,121,23.12072864,24,10,176,4.991595584,03-Jun,9840,10,3,3319
Cricketer_93,156,129,163,130,4967,417,126,78.06327587,73,21.31511152,8,7,408,5.956283108,03-May,4250,12,2,4095
Cricketer_94,55,59,114,99,9730,110,154,96.96896071,109,22.12457713,25,10,455,7.253467928,03-May,1925,11,4,4980
Cricketer_95,119,161,144,68,4550,187,102,52.04753675,121,33.39533077,19,1,316,6.566176382,06-Apr,9838,3,1,8063
Cricketer_96,163,79,109,189,8425,205,197,126.3575036,143,43.73044837,14,1,230,4.178598069,06-Apr,7490,13,2,2515
Cricketer_97,109,168,106,126,9333,167,191,98.47962078,169,22.21489928,16,1,434,4.03900666,05-May,9343,12,4,6639
Cricketer_98,115,181,84,173,4325,334,111,67.94119887,187,22.39138739,10,6,438,6.896528531,06-May,7414,15,5,3298
Cricketer_99,53,118,157,160,4579,222,80,90.57083655,182,49.16360686,25,6,262,7.328162111,03-Mar,5206,3,3,6947
Cricketer_100,79,129,56,35,4412,253,106,86.14560176,192,44.18156407,10,10,400,4.106996852,03-Apr,5052,1,3,3826
Cricketer_101,71,170,60,190,8440,419,81,89.63333908,103,29.08139813,12,4,386,4.413686314,06-May,4287,9,4,4635
Cricketer_102,160,78,127,46,4927,236,137,116.7559803,175,39.22760289,13,1,333,7.857148704,04-May,5613,15,5,5601
Cricketer_103,111,76,69,110,9048,453,137,148.5468209,59,34.7057194,15,10,244,4.600413211,05-May,3262,11,5,4580
Cricketer_104,79,135,107,44,1829,220,159,85.62418574,78,23.5182151,28,3,392,5.332855837,04-Apr,9992,8,2,2824
Cricketer_105,125,85,65,166,5771,498,119,62.3258034,186,42.04406037,23,3,473,6.932570611,04-May,9326,2,3,4485
Cricketer_106,76,128,97,114,6417,140,87,148.9218052,187,47.08755136,17,8,379,6.286051521,04-Jun,9626,1,4,3755
Cricketer_107,61,79,172,45,9003,407,197,104.8282842,194,42.6979937,9,3,158,5.093954421,04-Mar,9758,5,4,6123
Cricketer_108,67,196,182,25,7070,142,87,108.4923342,122,25.54664662,12,2,486,5.37408412,06-May,3275,2,5,2057
Cricketer_109,57,67,182,123,2997,100,188,103.5893754,64,41.81421147,20,3,368,5.469374689,05-May,6476,7,1,4653
Cricketer_110,56,112,185,55,4881,350,187,58.37030749,85,33.70057059,23,4,136,7.110727291,03-Jun,5241,8,5,4817
Cricketer_111,73,178,146,24,1794,398,85,147.1313437,152,42.11684565,24,4,483,4.36751293,05-Apr,4294,5,5,8207
Cricketer_112,152,130,59,135,4295,288,84,131.1249051,118,24.69302458,8,9,352,6.920038098,06-Mar,3844,8,2,7233
Cricketer_113,122,187,192,35,6263,205,154,136.6847191,70,33.8645012,21,9,387,6.812632376,06-Apr,4666,2,1,9201
Cricketer_114,180,120,178,80,9757,115,160,111.6399225,171,34.38217884,14,9,370,7.505511034,06-Jun,6330,8,3,4960
Cricketer_115,77,86,72,39,2859,323,83,93.56995466,53,32.04970087,24,9,91,6.831970959,04-Apr,1852,4,5,3106
Cricketer_116,159,166,130,59,3886,228,153,113.1868406,101,21.46361758,15,3,136,5.638607252,06-Jun,4199,9,3,5752
Cricketer_117,104,50,102,186,1153,477,119,135.9077147,186,44.24460204,8,6,148,5.638140182,03-May,7997,2,3,5187
Cricketer_118,99,61,143,81,9109,185,190,134.6397253,88,36.89101478,14,4,468,6.27931704,06-Jun,6095,5,5,8381
Cricketer_119,183,186,169,34,9740,289,89,89.6912219,168,24.69764628,30,1,203,4.012155621,04-Mar,4503,3,3,3108
Cricketer_120,168,60,78,170,9083,485,184,105.9488912,67,27.98558899,17,6,333,5.63044122,05-Apr,3580,1,3,3615
Cricketer_121,89,192,119,162,5926,394,125,103.0820034,190,48.82209938,15,4,231,6.727056572,05-Jun,3491,2,4,4692
Cricketer_122,119,66,82,115,7188,347,188,107.686947,89,37.41099577,22,4,378,7.978400293,06-Apr,1311,6,4,4938
Cricketer_123,177,111,73,174,3664,228,200,147.7529568,83,41.70126143,30,5,100,4.620783878,06-Jun,1535,12,2,4020
Cricketer_124,116,163,145,177,2942,245,51,56.36062043,170,25.47881394,7,8,475,4.659475319,04-Jun,5710,3,4,2732
Cricketer_125,95,65,169,100,3361,213,128,116.6599521,66,30.37392906,20,2,66,7.596390514,05-Jun,4684,2,3,5454
Cricketer_126,59,148,142,100,9408,181,68,99.04404158,168,30.1800475,29,8,133,7.94071915,03-Mar,8935,6,1,8769
Cricketer_127,121,96,172,26,8164,326,104,102.8553616,88,47.36880873,25,6,150,6.350986267,04-Mar,3803,9,5,7233
Cricketer_128,129,111,140,70,5209,456,104,110.8646309,180,44.73816486,11,1,232,4.33815294,04-Mar,6532,9,2,6284
Cricketer_129,94,135,84,194,8776,279,78,131.3021478,142,23.93238426,24,10,56,5.109889833,04-May,2977,7,1,7911
Cricketer_130,103,197,111,89,5914,442,85,89.41626115,132,43.29614549,5,10,56,5.729033303,03-Jun,8846,6,5,6877
Cricketer_131,133,114,114,116,2562,399,112,109.2280401,145,42.25058909,12,4,490,7.869168677,05-May,5047,13,2,8847
Cricketer_132,168,173,162,142,9888,497,156,149.5147925,56,39.82580236,8,4,74,6.477309203,05-May,8047,8,5,8557
Cricketer_133,120,87,75,70,8203,296,75,115.3300098,157,29.9409374,25,2,209,5.270543969,06-Jun,3477,15,2,8972
Cricketer_134,127,131,56,173,7682,207,181,85.59507064,164,25.36683516,19,2,316,7.894243549,05-Mar,5227,14,1,8842
Cricketer_135,96,141,77,115,3898,223,146,74.04086531,163,34.50134537,25,8,71,6.154580007,06-Jun,5493,11,3,6200
Cricketer_136,161,182,82,161,9875,494,57,77.97346613,53,39.50497602,21,2,432,4.645634556,04-Jun,1537,8,2,2866
Cricketer_137,188,124,127,55,7536,317,104,147.3233189,153,43.63081918,26,10,128,7.830294428,06-Jun,4432,5,4,6819
Cricketer_138,88,169,78,138,7260,463,75,55.13016428,83,35.01324533,11,9,50,4.012308265,03-Mar,1043,12,1,6430
Cricketer_139,180,152,136,115,4507,223,181,110.4522533,75,27.08751305,24,2,223,4.573888113,06-May,4067,14,5,3224
Cricketer_140,181,138,176,87,7898,275,83,60.36187942,138,43.8710104,9,1,391,5.071295129,03-Mar,9447,2,4,4038
Cricketer_141,92,145,102,168,7931,478,120,55.15969878,150,25.91405266,7,9,91,5.245482051,06-Jun,7649,9,4,5897
Cricketer_142,113,94,190,168,2214,255,60,106.2540697,183,46.49049239,28,3,155,5.377195414,03-May,7727,14,2,9102
Cricketer_143,187,87,57,198,4790,323,155,115.357655,79,21.30514783,16,2,369,4.341435564,03-Mar,7101,15,1,3930
Cricketer_144,178,161,79,35,9522,208,119,113.993495,178,47.24324422,8,2,159,6.131630941,05-Mar,9080,5,4,9054
Cricketer_145,149,182,74,170,3859,260,189,139.6734492,96,33.3534482,30,6,402,6.780843246,03-Jun,1577,15,2,4893
Cricketer_146,141,155,103,47,4822,278,155,90.95528275,69,26.53705595,21,5,190,5.289506409,05-May,5087,9,5,9881
Cricketer_147,150,55,62,81,1107,284,177,70.34410522,128,20.85329071,25,1,81,4.619072665,05-Apr,2545,12,1,6816
Cricketer_148,60,76,171,195,3138,425,148,51.74048471,127,45.82039943,14,7,435,5.533081107,03-May,7828,11,3,6137
Cricketer_149,199,54,115,55,7862,444,151,101.1814421,94,29.28039774,16,7,363,5.62108089,05-Mar,7497,14,4,9258
Cricketer_150,112,64,65,195,3542,191,77,109.6213819,173,28.08336949,12,4,302,6.865063361,04-Apr,1036,1,1,8865
Cricketer_151,147,50,101,167,9112,418,109,81.71620503,62,43.76335698,11,8,221,5.769753882,05-Mar,3666,7,1,6933
Cricketer_152,121,140,89,156,3614,158,168,100.9762519,183,38.35819555,15,3,197,5.44861941,06-Mar,4982,14,3,8178
Cricketer_153,163,114,119,198,3780,355,68,78.93048639,87,37.99180183,10,8,311,6.794516632,05-Apr,2063,7,4,6328
Cricketer_154,65,80,167,132,1366,286,64,111.9789167,125,35.76216558,23,5,245,6.174307048,04-May,1004,13,1,5893
Cricketer_155,178,117,160,31,3126,113,177,117.9758787,166,37.8571498,24,2,306,4.566170371,03-May,3768,11,1,2715
Cricketer_156,188,56,168,143,9232,222,53,64.99531987,181,22.92641178,12,6,468,7.904156005,04-Apr,2398,5,5,7958
Cricketer_157,112,97,79,30,8485,450,120,116.7275355,166,43.41804639,23,6,251,6.054859593,04-Apr,4153,12,3,5146
Cricketer_158,123,83,166,147,1935,466,112,140.0016109,165,23.12780573,23,9,233,4.017172649,05-Jun,6009,15,3,5691
Cricketer_159,163,144,197,186,3209,185,145,107.0083461,118,36.35243349,22,2,175,7.681023135,04-May,2582,6,3,3998
Cricketer_160,51,97,152,124,6306,464,102,96.70137208,77,23.35397662,29,7,228,5.470844944,04-May,4104,3,2,9626
Cricketer_161,141,114,60,200,2508,126,120,65.67494066,117,48.94199822,15,3,226,6.963158557,05-Apr,7043,1,4,7209
Cricketer_162,89,141,116,130,5317,382,102,67.46352025,141,34.61603839,29,5,102,6.710729526,04-Mar,5814,15,1,5294
Cricketer_163,135,146,89,187,8485,184,132,120.8193097,112,41.48309842,30,2,439,6.17722487,03-Mar,8152,4,3,8143
Cricketer_164,163,96,56,64,3406,216,133,61.38260259,115,25.78948151,25,8,69,4.497419067,04-Mar,9051,14,1,4208
Cricketer_165,150,53,71,44,5102,197,125,120.4938463,123,49.7346966,6,1,364,4.724428329,04-May,6611,13,5,6825
Cricketer_166,149,115,119,41,9098,107,180,53.92094769,140,34.70269515,28,5,115,7.797077336,06-Jun,7043,14,4,8913
Cricketer_167,135,103,156,75,2430,197,51,107.0061117,125,23.44850853,8,10,153,5.175608411,05-Apr,1766,4,4,8263
Cricketer_168,197,136,77,184,9564,447,92,141.9499844,129,44.18801151,10,9,303,7.897839168,03-May,7041,3,2,7447
Cricketer_169,93,116,53,193,9696,356,151,139.3299486,146,28.04325839,27,5,295,5.204808847,04-May,5204,10,3,5176
Cricketer_170,103,80,154,198,4519,160,169,86.19494454,163,20.92937053,7,4,315,5.194421366,04-Apr,5738,11,1,6350
Cricketer_171,70,121,53,32,8681,422,160,109.2508497,65,43.98827448,24,4,180,5.151940002,05-Mar,6365,3,2,2691
Cricketer_172,100,138,87,178,6650,427,166,134.9954654,99,37.68606598,22,3,196,4.208367208,03-Apr,6415,6,4,4486
Cricketer_173,194,184,111,106,9756,493,106,52.41324858,162,43.17995402,10,6,417,6.418165314,03-Mar,9983,3,3,5487
Cricketer_174,112,175,71,29,7272,349,103,133.88866,66,49.87945223,17,2,441,6.2996963,03-Apr,9428,1,4,8707
Cricketer_175,91,90,66,66,1621,388,94,92.22396178,62,46.58075415,13,6,164,4.805322045,04-May,5950,11,1,7717
Cricketer_176,167,152,104,187,7365,476,167,122.5600933,101,27.95980459,20,3,228,6.124148539,06-Mar,4874,5,1,4649
Cricketer_177,85,189,83,26,4289,354,188,147.9868206,156,20.37153846,12,1,107,5.21525313,03-Mar,8768,6,1,5643
Cricketer_178,191,130,109,181,8712,155,169,138.2207232,158,35.63653919,30,3,82,4.503429739,05-Jun,2480,14,2,7283
Cricketer_179,81,162,150,99,2657,366,52,69.37424534,66,35.50233175,17,8,236,6.01296836,04-Jun,6214,15,1,5260
Cricketer_180,188,71,190,39,5699,366,156,94.92018262,156,29.45977216,13,7,305,5.024623254,06-Apr,1997,5,3,3450
Cricketer_181,96,159,78,117,9597,463,113,84.87383579,100,48.59845425,21,2,378,4.214244636,06-May,8061,12,4,6944
Cricketer_182,65,66,69,159,2091,420,126,135.3636994,60,28.94759289,20,8,361,5.791657915,04-May,7552,7,4,4840
Cricketer_183,146,179,192,117,8485,108,60,75.09525188,173,38.54910769,30,4,325,4.092657157,04-Mar,5701,5,3,3002
Cricketer_184,112,198,141,39,2058,150,196,94.6910766,189,24.42830771,23,10,352,7.504849434,06-Jun,6910,11,1,2726
Cricketer_185,77,188,95,172,2822,469,115,52.60441361,133,26.47560189,25,1,131,6.907131921,03-Jun,8021,7,5,4806
Cricketer_186,164,152,146,199,2789,144,194,108.1588945,133,21.94814955,10,10,240,6.812599447,05-Jun,7734,9,5,4920
Cricketer_187,170,184,65,145,4940,124,186,122.5610316,120,34.8715729,11,10,494,4.248002727,03-May,8880,9,4,7550
Cricketer_188,82,128,89,135,6946,383,171,142.7500113,155,35.94253488,6,9,473,5.321972699,03-Jun,1828,12,2,3899
Cricketer_189,155,156,148,166,5088,500,87,147.5256508,93,32.06383317,21,6,451,6.862091562,03-May,1565,2,5,8211
Cricketer_190,152,104,179,120,8112,271,152,127.633395,186,26.65236376,5,1,297,6.864589344,05-May,8358,6,3,7802
Cricketer_191,76,85,105,119,9323,460,87,73.25639592,178,41.05397033,18,8,201,7.778575332,03-May,8588,2,2,5704
Cricketer_192,70,141,157,168,3656,340,143,51.04150837,177,30.08135165,30,7,153,4.698680536,03-May,6889,15,2,9512
Cricketer_193,119,91,191,120,9948,391,137,92.20036552,143,20.80028848,8,7,70,5.684214263,05-Jun,3186,13,5,9396
Cricketer_194,86,160,162,113,4138,326,184,145.4267808,73,24.2909529,15,1,148,6.568283818,03-May,5229,2,4,5734
Cricketer_195,188,199,90,112,4786,432,90,76.18565223,117,49.57705346,23,2,335,7.585950867,04-Jun,9014,12,2,2830
Cricketer_196,133,137,187,50,3390,172,146,121.5769283,95,45.3419406,13,5,278,6.109661715,03-Mar,1924,12,4,3830
Cricketer_197,115,108,88,184,3740,157,150,102.487943,103,30.20212662,10,4,199,7.190541552,05-Mar,6252,13,2,2177
Cricketer_198,104,60,199,193,1236,378,85,60.16947957,144,33.38330435,18,1,169,4.163854644,05-May,8102,8,5,9517
Cricketer_199,119,66,64,132,4420,198,134,77.90948861,170,22.10445676,5,8,407,5.7255733,05-Mar,5777,9,3,2552
Cricketer_200,64,100,61,133,2574,181,169,81.9303621,164,29.55073035,25,3,102,4.508026614,05-May,8917,6,4,9366
Cricketer_201,166,73,189,179,6581,237,113,60.43311257,61,39.41622662,14,1,431,4.249649597,06-Mar,4464,15,2,3516
Cricketer_202,123,85,152,76,7529,233,139,59.26662764,130,27.58650331,29,7,272,7.804559609,05-May,4234,9,4,7881
Cricketer_203,50,55,196,81,5763,290,181,57.24097151,96,21.36913263,23,3,198,4.183772202,04-Mar,5624,12,2,6712
Cricketer_204,196,88,71,90,9797,130,51,127.1128836,143,28.56694199,10,10,369,5.522970493,04-May,7903,2,4,3574
Cricketer_205,150,70,175,173,6597,280,153,131.5571601,145,47.24070403,30,1,351,7.972146559,04-Apr,3209,11,4,8711
Cricketer_206,145,176,72,143,9487,388,62,93.726458,109,48.66403068,22,4,421,5.838734144,03-Jun,1434,13,3,5688
Cricketer_207,200,144,107,118,4432,344,94,141.6961193,124,23.30313232,22,10,425,6.679182261,03-Jun,6521,6,4,2428
Cricketer_208,50,57,78,109,3609,290,161,67.05840981,107,27.94220697,15,1,98,6.187414981,05-Mar,7230,4,4,8368
Cricketer_209,162,154,149,46,9898,105,54,119.9688324,127,46.20329875,16,7,395,4.797037468,03-Jun,4788,11,5,6450
Cricketer_210,76,114,55,162,1800,274,196,146.6943914,145,25.48845518,21,9,429,5.044787095,03-Apr,6718,10,4,6216
Cricketer_211,92,120,74,75,7491,258,199,85.99040618,181,43.06164005,28,3,157,5.880737077,04-Mar,3230,9,1,7051
Cricketer_212,196,108,131,124,2017,158,169,118.6448177,79,33.07236197,15,10,251,6.479258241,05-Mar,1174,5,2,5631
Cricketer_213,52,72,116,83,4462,112,136,91.06475961,129,29.68956877,26,2,384,6.350959248,03-Apr,5109,4,4,4605
Cricketer_214,134,97,160,41,3042,282,129,73.35414806,124,38.37319483,24,1,129,4.778181806,06-Mar,8480,10,5,7412
